status,nationality,level,language,gpa,belong,meaningful_friendships,interact_chinese,comfort_init,language_hard,stay_in_groups,class_confidence,valued_in_groups,excluded_study_group,confident_succeed,social_motivation,social_grades,aware_services,uni_enough,open_ended,gender,year,social_circle,batch
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Somewhat,Agree,i dont know,Male,Year 1,3-5,B
Domestic Chinese student,China,Undergraduate,Chinese,Above 3.7,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Yes,Disagree,Most social interactions are spontaneous and I found a lot of people (including myself) unwilling to initiate new social contacts. I hope there will be more planned activities or circumstances that are attracted enough to promote more social contacts.,Female,Year 3,3-5,B
Domestic Chinese student,China Mainland,Undergraduate,Chinese,3.3-3.7,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Somewhat,Neutral,I think it doesn't matter because I am only depending on myself,Male,Year 2,3-5,B
Domestic Chinese student,"Guangdong,China",Undergraduate,Chinese,3.3-3.7,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Somewhat,Disagree,I can discuss the course with my friend so that I will not feel lonely or very hard to learn a course.,Female,Year 1,More than 10,B
International student,Luxembourg,PhD,English,3.3-3.7,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Somewhat,Strongly disagree,"In my opinion this university is currently not equipped to host international students. There are many instances of inadvertent discrimination and exclusion (eg. being refused entry to student societies due to not speaking Chinese, many training sessions and talks are in Chinese only resulting in loss of opportunities, unable to be on the student union commitee, missing out on voting for the best teacher as the link was only shared in Chinese etc., students struggling to get internships or lab experience due to noone feeling comfortable supervising in English) I feel that my ability to learn is severely impaired. It is hard to join in discussions in the lab or have discussions about my work with colleagues or collaborators. I know more about my friends work abroad than I know about the work of my fellow lab members. This is not due to malice, my lab mates are all very kind, but the language barrier is huge and makes it difficult. The university is also not doing enough to support international students. There is inadequate support prior to joining (eg. no checklists are provided about what to prepare and what apps to get) and after joining. It would be good to create a guide for international students explaining to them about life here eg. about drinking water, how to get food, pay, information about the medical system and about precautions to take (eg. rabies is endemic etc). International students are extremely vulnerable and the university is currently not helping enough. Even at the HKUST (GZ) clinic it can be complicated if you do not speak Chinese. I know that none of this is a deliberate attempt to exclude but at times it can be extremely frustrating and I can't help but feel that some of these points should have been thought through and have been addressed. I have considered leaving because of all this but I like my research project and my supervisor and I want to finish my degree.",Female,Year 2,1-2,B
Domestic Chinese student,Shenzhen,Undergraduate,Chinese,Above 3.7,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Somewhat,Neutral,Impacts on academic plans occurred. More entertaining public activities will help decline isolation,Male,Year 2,3-5,B
Domestic Chinese student,Guangdong,Undergraduate,Chinese,3.3-3.7,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Somewhat,Neutral,Becoming more independent,Female,Year 2,3-5,B
International student,India,PhD,English,Above 3.7,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Somewhat,Neutral,if i could talk to more people that could help me in more research colaboration but being and foreign student i fell bit disconnected with local people and no one from internation community works in the similar research fields of mine since the international phd students are very very few in numbers,Male,Year 1,More than 10,B
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neutral,Yes,Strongly agree,,Male,Year 2,0,B
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Somewhat,Neutral,Idk,Female,Year 3,3-5,B
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,No,Disagree,more diverse than the previous,Female,Year 3,6-10,B
"Hong Kong, Macau, or Taiwan student",Tw,Undergraduate,Chinese,3.3-3.7,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Disagree,Somewhat,Neutral,"Not really, I study by myself",Male,Year 3,3-5,B
International student,Southeast Asia,PhD,English,Above 3.7,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Disagree,Yes,Neutral,"It feels very lonely and very boring being alone most of the time. What can be improved? I think the only is to conduct more activities to create more opportunities for interaction. I believe meaningful connections can be achieved when people work on something together, whether it be winning a game or creating just a small output. I think it would be nice to have team building activities (I can help organize it or suggest some good ideas :) ).",Male,Year 1,3-5,B
International student,Kenn,Undergraduate,Bahasa tubuh,3.3-3.7,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat,Neutral,Speak more english please 老板,Male,Year 1,3-5,B
Domestic Chinese student,China,Undergraduate,Mandarin &Cantonese,Above 3.7,Agree,Neutral,Agree,Agree,Disagree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Somewhat,Neutral,I’m fine for now.,Female,Year 3,3-5,B
Domestic Chinese student,China,Undergraduate,Mandarin,3.3-3.7,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat,Agree,It's nkt bad. I have a l lot of friend's here and I feel belong to here.,Male,Year 2,6-10,B
International student,Kenn,Undergraduate,Bahasa tubuh,3.3-3.7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat,Neutral,Encourage more Chinese students to speak English only maybe by recruiting more foreign professor,Male,Year 1,6-10,B
Domestic Chinese student,Guangdong,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly disagree,Agree,Disagree,Disagree,Yes,Neutral,"In the peers aspects, i am grateful for the friends i have made and the support from them. It is easy for me to reach out to them when i encounters difficulity in courses. What's more, i can form course project team with them. Besides course, i also have friends that share same hobby such as badminton, gyming, KTV, riding bike and so on. This also enrich my school life and boost my efficiency when studying. One thing i should do better is to connect closely with professors, this can help me draw a more clear blue map of my future academic plan.",Male,Year 3,6-10,B
International student,Malaysia,Undergraduate,English,2.7-3.0,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Somewhat,Disagree,-,Female,Year 2,More than 10,B
International student,KZ,Undergraduate,English,2.7-3.0,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Yes,Strongly agree,Better english,Male,Year 1,More than 10,B
"Hong Kong, Macau, or Taiwan student",HK,Undergraduate,Cantonese,2.3-2.7,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Somewhat,Neutral,Knowing more people so I can gain more intel on courses that i might take and courses that I'm taking.,Male,Year 2,6-10,B
International student,Kazakshtan,Undergraduate,Russian/english,2.7-3.0,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Somewhat,Disagree,"Maybe because I didn’t have any study groups or study buddy, actually worsen my performance but I’m not sure about it. I think if uni tried harder to make people from different backgrounds more connected it would help",Male,Year 1,3-5,B
International student,Kazakhstan,Undergraduate,Russian,3.3-3.7,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Somewhat,Neutral,Maybe make clubs in English,Male,Year 1,6-10,B
Domestic Chinese student,CHN,PhD,Chinese,3.3-3.7,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Somewhat,Disagree,"Since my surrounding are all doing AI stuff, We can easily talk with them about the research, which is better for my academic",Male,Year 1,3-5,B
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Somewhat,Neutral,taking the class,Female,Year 3,6-10,B
"Hong Kong, Macau, or Taiwan student",Hong Kong,Undergraduate,Chinese,3.3-3.7,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Disagree,No,Agree,"I do group project with fixed people, I don’t know",Male,Year 3,3-5,B
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Somewhat,Neutral,make more friend's from different culture backgrounds,Male,Year 1,3-5,B
Domestic Chinese student,JiangXi,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Somewhat,Agree,It's hard for me to find an exact experience that affected my academic life,Male,Year 2,3-5,B
"Hong Kong, Macau, or Taiwan student",Taiwan,Undergraduate,Chinese,3.3-3.7,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,No,Disagree,Everything has been going well so far.,Female,Year 3,1-2,B
Domestic Chinese student,China,Undergraduate,Chinese,Above 3.7,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat,Neutral,My friend invite me to study at library together and that improves my performance at the exams.,Female,Year 1,3-5,B
International student,Henan China,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Yes,Strongly disagree,improve my spoken english,Female,Year 1,More than 10,B
Domestic Chinese student,China,Undergraduate,Mandarin,2.7-3.0,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Yes,Agree,"I think it is good to do research with people I am familiar with, like my friends. And luckily, I do make some good friends here. About the change, I have no idea, I think I am good with present.",Male,Year 3,6-10,B
Domestic Chinese student,Chinese,Undergraduate,Chinese,3.3-3.7,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Somewhat,Neutral,Working with classmates from diverse cultural backgrounds has significantly enhanced my English communication skills and boosted my self‐confidence.,Female,Year 2,6-10,B
Domestic Chinese student,chinese,Undergraduate,Chinese,3.3-3.7,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Yes,Disagree,i am getting used to stay alone,Prefer not to say,Year 3,3-5,B
International student,Indonesian,Undergraduate,English,2.7-3.0,Neutral,Agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Yes,Neutral,"Group projects become more difficult, enforcing the use of English",Male,Year 2,3-5,B
Domestic Chinese student,chn,Undergraduate,cn,3.3-3.7,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat,Agree,emm,Male,Year 3,More than 10,B
Domestic Chinese student,中国河南安阳,Undergraduate,English,Above 3.7,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,No,Disagree,"Summer camp opened my horizon a lot, I love to meet different people and talk. I would love to have language courses like German, Russia and others. It will be fantastic! I love learning languages",Male,Year 1,More than 10,B
"Hong Kong, Macau, or Taiwan student",Hongkong,Undergraduate,Chinese,3.3-3.7,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Somewhat,Disagree,being friends and studying with my roommates has improved my score,Female,Year 3,3-5,B
